filename, orig_bc_size, orig1_num_miss, orig1_num_cycle, orig2_num_miss, orig2_num_cycle, wo_time, outbc_size, out1_num_miss, out1_num_cycle, out2_num_miss, out2_num_cycle, w_time, opt_size, opt1_num_miss, opt1_num_cycle, opt2_num_miss, opt2_num_cycle
chronos/aes, 42936, 259, 100178, 267, 101134, 1.0015, 231676, 301, 276798, 301, 276798, 0.4566, 52488, 301, 113852, 301, 113852
chronos/des, 24748, 252, 95604, 209, 90394, 1.8639, 483496, 278, 550570, 278, 550570, 0.2203, 30408, 278, 102978, 278, 102978
chronos/des3, 40904, 240, 93284, 182, 84262, 2.3260, 451972, 274, 1180590, 274, 740900, 0.6421, 46344, 250, 102152, 250, 99104
chronos/anubis, 46240, 274, 128250, 273, 127414, 4.8167, 419812, 275, 889522, 275, 889522, 1.3304, 50880, 274, 137820, 274, 137820
chronos/cast5, 29748, 280, 102006, 277, 101906, 1.3056, 215428, 302, 396852, 302, 396852, 0.3887, 35156, 302, 110664, 302, 110664
chronos/cast6, 33452, 243, 97328, 243, 97328, 1.1058, 245816, 243, 336288, 243, 336288, 0.4390, 38696, 243, 104032, 243, 104032
chronos/fcrypt, 11456, 216, 83050, 216, 83054, 0.1159, 65308, 238, 133748, 238, 133748, 0.0431, 15384, 238, 88186, 238, 88186
chronos/khazad, 29268, 330, 101618, 320, 100460, 0.6985, 251804, 430, 500502, 430, 500502, 0.1208, 43488, 430, 137542, 430, 137542
supercop/aes_core, 36320, 232, 89968, 233, 90160, 1.5624, 345800, 238, 217908, 238, 217908, 0.3302, 44084, 238, 96410, 238, 96410
supercop/cast-ssl, 33460, 343, 117660, 340, 117270, 1.9935, 447804, 438, 770746, 438, 770746, 0.4903, 45112, 434, 142124, 434, 142124
appliedCryp/3way, 5612, 179, 87452, 179, 87062, 0.0079, 5648, 180, 89322, 180, 89322, 0.0061, 5648, 180, 89322, 180, 89322
appliedCryp/des, 11600, 222, 152462, 220, 146998, 0.0965, 25560, 223, 181854, 223, 181854, 0.0502, 12612, 223, 162684, 223, 162684
appliedCryp/loki91, 5076, 179, 768064, 179, 768296, 0.0066, 5080, 180, 1530188, 180, 1530188, 0.0057, 5080, 180, 1530188, 180, 1530188
libg/camellia, 11888, 203, 84020, 201, 83832, 0.0616, 26240, 242, 113808, 242, 113808, 0.0551, 14224, 242, 92132, 242, 92132
libg/des, 10156, 210, 100396, 209, 100100, 0.0849, 23400, 211, 120150, 211, 120150, 0.0524, 11128, 211, 102034, 211, 102034
libg/seed, 7772, 226, 83004, 228, 83256, 0.0044, 10728, 238, 113744, 238, 113744, 0.0034, 9312, 238, 98964, 238, 98964
libg/twofish, 142232, 332, 230664, 325, 230142, 50.3867, 973496, 336, 1522296, 336, 1522856, 19.2988, 201176, 336, 337566, 336, 337566
botan/aes, 61280, 327, 242762, 327, 242762, 0.4332, 82800, 327, 287350, 327, 287350, 0.3447, 61420, 327, 242888, 327, 242888
botan/cast128, 66864, 295, 161296, 293, 161052, 0.6487, 242008, 318, 402572, 318, 402572, 0.1828, 72872, 318, 170544, 318, 170544
botan/des, 43168, 267, 118782, 268, 119000, 0.3737, 159084, 314, 222392, 314, 222392, 0.1155, 50424, 314, 128544, 314, 128544
botan/kasumi, 38516, 202, 113638, 204, 113828, 0.3080, 87416, 204, 155636, 204, 155636, 0.1953, 39536, 204, 114504, 204, 114504
botan/seed, 45064, 236, 105782, 235, 105802, 0.9232, 278576, 246, 206296, 246, 206296, 0.2802, 50560, 246, 109736, 246, 109736
botan/twofish, 157560, 332, 297840, 330, 292664, 44.5857, 907664, 332, 1420016, 332, 1418148, 17.1960, 160036, 332, 309282, 332, 309282
chronos/khazad, 29268, 330, 101618, 320, 100460, 0.7611, 251804, 430, 500502, 430, 500502, 0.0921, 43488, 430, 137542, 430, 137542
